Speaker,Date,University,Abstract,Speaker Bio
Dr. Kevin Pelphrey,1/15/2021,University of Virginia,"This lecture will discuss recent work from the Autism Center of Excellence (ACE) Network focused on understanding sex differences in the causes, characteristics and experiences of Autism Spectrum Disorder (ASD). The discussion will present the findings concerning sex differences in ASD brain development and describe their efforts to bridge DNA sequence and brain development to identify neurogenetic profiles that predict treatment response as well as functioning and quality of life in adolescence and young adulthood. ","Kevin Pelphrey, a neuroscientist and expert on brain development, is the Harrison-Wood Jefferson Scholars Foundation Professor of Neurology. His team seeks to understand the causes of autism and related neurodevelopmental disorders to deliver the right treatment to the right individual at the right time. Kevin is the Principal Investigator of the NIH Autism Center for Excellence—Neurogenetics of Autism Network. He serves by appointment of the Secretary of Health & Human Services as a member of the Interagency Autism Coordinating Committee."
Dr. Shafali Jeste,1/22/2021,"University of California, Los Angeles","We have entered an era of precision therapeutics in neurodevelopmental disorders (NDD), with precision both in timing of our diagnoses and in the identification of specific genetic etiologies that cause NDDs. As disease-specific therapies are developed, we must be prepared for the design and implementation of successful clinical trials. This clinical trial readiness includes (1) identification of meaningful clinical endpoints, (2) measurement of biomarkers that inform patient selection and drug target engagement measurement, and (3) methods to improve 
scalability and accessibility of research and treatment for families. This presentation will begin with an overview of the state of the field in precision health in NDDs followed by data from several studies that have addressed the goals listed above in clinical trial readiness, including prospective studies of high risk infants and endpoint and biomarker studies in syndromic NDDs. ","Dr. Jeste is a behavioral child neurologist specializing in autism and related neurodevelopmental disorders. She is an Associate Professor-in-Residence in Psychiatry, Neurology and Pediatrics at the UCLA David Geffen School of Medicine, the director of the UCLA CARING Clinic, and a lead investigator in the UCLA Center for Autism Research and Treatment (CART). Dr. Jeste’s research is focused on developing methods to improve precision in the diagnosis and treatment of neurodevelopmental disorders. Her lab studies neurodevelopmental disorders from early infancy through late childhood. She holds several national and international leadership positions including the Board of Directors of the American Brain Foundation, Board of Directors of the National Organization for Rare Disorders, and the Board of Directors of the International Society for Autism Research. In 2019 she became Chair of the International Baby Siblings Research Consortium. In 2019 she was awarded the Presidential Early Career Award for Scientists and Engineers for her innovations in research in early predictors and intervention for genetic neurodevelopmental disorders. "
Dr. Daniel Gardner,1/29/2021,Cornell University,"Are neural circuits and the computations they perform evolutionarily conserved? The answer may simplify analyses of multineuron recording and inform new neuromorphic designs for future AI systems. Daniel Gardner will examine new approaches to explore this question, including a projected Neuromorphic Neural Networks (N^3, or Encubed) collaborative, and the Next Cool Virtual Meeting. ","Daniel Gardner is Head of the Laboratory of Neuroinformatics and Professor of Physiology and Biophysics at Weill Cornell Medical College in New York City. He has contributed to the synaptic biophysics underpinning networks of neurons in Aplysia, delivered resources for the exchange of neuroscience data, and examined parallels between biological and artificial neural networks. "
Dr. Randy Gollub,2/5/2021,Massachusetts General Hospital,"Neuroimaging captures valuable phenotypic information that can inform the delivery of healthcare. Advanced neuroimaging technologies describe patients’ anatomy and physiology in ever greater detail and at increasing spatiotemporal resolutions. The use of these biomedical imaging technologies during the routine conduct of healthcare, and the electronic recording and storage of the resultant data in various archives and databases, creates the opportunity to extract specific, objective and quantitative individual patient information. This presentation will focus on recent work using clinically acquired brain images from neonates and children to build age specific “normative” atlases of quantitative brain tissue metrics to advance understanding of brain development and the application of those “normative” atlases to detect abnormalities associated with hypoxic ischemic encephalopathy in neonates. This approach enables detection of subtle anatomic variations through the use of machine learning algorithms. This work demonstrates the exciting potential of existing, EHR data, including clinically acquired brain MRI scans, to yield information on par with clinical research studies that were conducted over decades at the cost of many millions of dollars. ","Randy L. Gollub is Professor of Psychiatry and Associate Director of Translational Research in the Neuroimaging Research Program at Massachusetts General Hospital. She is a recognized leader in the development and application of advanced neuroimaging technologies to understand the pathophysiology of neuropsychiatric disorders including neonatal hypoxic ischemic encephalopathy, chronic pain and schizophrenia. She is currently working on translating these advances into clinical radiology practice to improve patient care through the use of large-scale imaging informatics approaches. "
Dr. Maryann Martone,2/12/2021,"University of California, San Diego","Two major tenants of the FAIR data principles promoting interoperability are the use of vocabularies that are themselves FAIR, and representing knowledge in a computable form using open standards. With the emphasis on FAIR, we have seen an uptick in the use of community ontologies such as Gene Ontology and UBERON, the pan species anatomy ontology, across consortia such as the Common Fund Data Ecosystem (CFDE). However, the use of ontologies in neuroscience has always been a challenge as we have yet to settle on a common anatomy nor have the nature or number of cell types in the nervous system been agreed up. In this presentation, I will go over practical strategies for using and developing ontologies that have been developed through the Neuroscience Information Framework, the International Neuroinformatics Coordinating Facility, the ReproNIM (reproducible neuroimaging) , the BRAIN Initiative Cell Census Network (BICCN) and SPARC (Stimulating Peripheral Activity to Relieve Conditions) projects. ","Maryann Martone received her BA from Wellesley College in Biological Psychology and Ancient Greek and her Ph. D. in Neuroscience from the University of California, San Diego. She is a professor Emerita at UCSD, but still maintains an active laboratory, the FAIR Data Informatics Lab. She started her career as a neuroanatomist, specializing in light and electron microscopy, but her main research for the past 20* years focused on neuroinformatics. She led the Neuroscience Information Framework (NIF), a national project to establish a uniform 
resource description framework for neuroscience, and the NIDDK Information Network (dknet), a portal for connecting researchers in digestive, kidney and metabolic disease to data, tools, and materials. Dr. Martone is past President of FORCE11, an organization dedicated to advancing scholarly communication and e-scholarship. She completed two years as the chair of the Council on Training, Science and Infrastructure for the International Neuroinformatics Coordinating Facility and is now the chair of the Governing Board. Since retiring, she served as the Director of Biological Sciences for Hypothesis, a technology non-profit developing an open annotation layer for the web (2015-2018) and founded SciCrunch, a technology start up based on technologies developed by NIF and dkNET. "
Dr. Giselle Petzinger,2/19/2021,University of Southern California,"Dr. Petzinger's work focuses on understanding how to promote brain repair after injury, particularly in the context of Parkinson's disease. The focus of this talk will be to review mechanisms of exercise induced neuroplasticity in a rodent model of Parkinson's disease and to examine exercise effects on cognition and motor performance in Parkinson's disease. ","Dr. Giselle Petzinger is an Associate professor in Neurology and Movement Disorders Specialist at the University of Southern California, Keck School of Medicine specializing in the care of patients with Parkinson’s disease (PD). She is a recognized leader in the field of exercise and Parkinson’s disease and in understanding mechanisms of exercise-induced neuroplasticity and repair in cognitive and motor circuitry impacted by the disease using animal models of PD. She is currently working on translating these findings into human studies investigating exercise parameters important for benefiting cognition in PD and utilizing imaging and peripheral blood markers to investigate the mechanisms underlying these effects. "
Dr. David Kennedy,2/26/2021,University of Massachusetts,"Given the intrinsically large and complex data sets collected in neuroimaging research, coupled with the extensive array of shared data and tools amassed in the research community, ReproNim seeks to lower the barriers for efficient: use of data; description of data and process; use of standards and best practices; sharing; and subsequent reuse of the collective ‘big’ data. Aggregation of data and reuse of analytic methods have become critical in addressing concerns about the replicability and power of many of today’s neuroimaging studies. ","Dr. Kennedy is a Professor of Psychiatry at the University of Massachusetts Medical School. He is Director of the Division of Neuroinformatics at the Child and Adolescent Neurodevelopment Initiative (CANDI). He has extensive expertise in the development of image analysis techniques and was a co-founder of the Center for Morphometric Analysis (CMA) at the Massachusetts General Hospital. His career has seen participation in the advent of such technologies as MRI-based morphometric analysis (1989), functional MRI (1991) and diffusion tensor pathway analysis (1998). He has long standing experience with development of neuroinformatics resources and participated in the morphometry Biomedical Informatics Research Network (mBIRN). Dr. Kennedy is the community liaison for the Neuroimaging Informatics Tools and Resources Clearinghouse (NITRC). In addition, he is a founding editor of 
the journal Neuroinformatics that debuted in 2003, and PI of ReproNim: A Center for Reproducible Neuroimaging Computation. "
Dr. James Morris,3/5/2021,University of Virginia,"The focus of neuroimaging studies has slowly shifted from mapping specialized systems common to healthy individuals, to understanding how individual variability in these systems allows for the rich phenotypic differences in our population. As individual difference approaches have become more common, concern about reliability of findings has emerged in the field. In order to appropriately leverage the promise of fMRI to draw conclusions about individual differences, new approaches that move from simple associations to predictive frameworks will allow for better causal inference and less false positive findings. The cognitive neuroscience of face recognition would benefit greatly from a better understanding of individual differences. This talk will focus on our work on this topic. ",Dr. James Morris is a University of Virginia Associate Professor of Psychology and the Director of Graduate Admissions. His work involves identifying and characterizing neural systems supporting social perception and social cognition. Two broad projects currently ongoing in his Social Neuroscience Lab are as follows: The first is a longitudinal investigation of neural development in preschool children. The second is a project in healthy adults aimed at identifying variability in neural systems that is predictive of differences in social capability. 
Dr. Ivo Dinov,3/19/2021,University of Michigan,"This talk will present the pillars and rationale of Open Big Neuroscience, present the important characteristics of Big Biomedical Data and challenges with sharing sensitive information. The DataSifter technique for novel statistical obfuscation of sensitive will be demonstrated. Some case-studies illustrating applications to Neurodegenerative Disease, Autism Brain Imaging Data Exchange, and Population Census-like Neuroscience. Finally, we 
will discuss complex-time (kime) representation of data and show examples of spacekime analytics based on transforming longitudinal data from time-series to kime-surfaces. ","Dr. Ivo D. Dinov is a professor of Health Behavior and Biological Sciences and Computational Medicine and Bioinformatics at the University of Michigan. He is also the Director of the Statistics Online Computational Resource (SOCR) and is an expert in mathematical modeling, statistical analysis, high-throughput computational processing and scientific visualization of large datasets (Big Data). His applied research is focused on neuroscience, nursing informatics, multimodal biomedical image analysis, and distributed genomics computing. Examples of specific brain research projects Dr. Dinov is involved in include longitudinal morphometric studies of development (e.g., Autism, Schizophrenia), maturation (e.g., depression, pain) and aging (e.g., Alzheimer’s disease, Parkinson’s disease). He also studies the intricate relations between genetic traits (e.g., SNPs), clinical phenotypes (e.g., disease, behavioral and psychological test) and subject demographics (e.g., race, gender, age) in variety of brain and heart related disorders. Dr. Dinov is developing, validating and disseminating novel technology-enhanced pedagogical approaches for science education and active learning. "
Dr. Vince Calhoun,3/26/2021,Georgia State University,"The use of neuroimaging to study mental and neurological disorder has shown to be a powerful tool to capture information on the underlying brain changes. However diagnostic heterogeneity is a major issue as the field struggles to learn from the brain imaging data. One important aspect which has not been well explored is the use of rich, high-dimensional brain data to guide us through this complex territory. We show that by focusing on more similar subsets of data, identified via advanced algorithmic strategies, we can facilitate an apples-to- apples comparison, enhance sensitivity to mental illness, and provide a framework for improved stratification. ","Vince D. Calhoun Dr. Calhoun is founding director of the tri-institutional Center for Translational Research in Neuroimaging and Data Science (TReNDS) and a Georgia Research Alliance eminent scholar in brain health and image analysis where he holds appointments at Georgia State University, Georgia Institute of Technology and Emory University. He was previously the President of the Mind Research Network and Distinguished Professor of Electrical and Computer Engineering at the University of New Mexico. His work includes the development of flexible methods to analyze functional magnetic resonance imaging data such as independent component analysis (ICA), deep learning for neuroimaging, data fusion of multimodal imaging and genetics data, neuroinformatics tools, and the identification of biomarkers for disease. He served as the chair for the Organization for Human Brain Mapping from 2018-2019 and is a past chair of the IEEE Machine Learning for Signal Processing Technical Committee. He currently serves on the IEEE BISP Technical Committee and is also a member of IEEE Data Science Initiative Steering Committee as well as the IEEE Brain Technical Committee. "
Dr. Chongzhi Zang,4/2/2021,University of Virginia,"Transcriptional regulation plays a critical role in many biological processes including cell development and cancer formation. Identification of active enhancers and transcription factors responsible for regulating gene expression is an essential problem in functional genomics. With novel integrative modeling approaches, massive publicly available multi-omics data can be a useful resource for gene regulation studies. In this talk I will present a few computational methods we developed for modeling gene regulation using public omics data and our recent work in studying cancer transcriptional regulation in the 3-dimensional genome using public data integration approaches. This work will demonstrate the power of data integration in both developing new methods and finding new biology. ","Dr. Chongzhi Zang is an Assistant Professor at the Center for Public Health Genomics, University of Virginia School of Medicine. His research focuses on developing computational and statistical methods for analyzing high-throughput data from innovative omics technologies and using integrative data science approaches to study gene regulation in mammalian cell systems. He develops several popular computational tools for ChIP-seq data analysis, transcriptional regulator inference and multi-omics data integration. "
Dr. Satrajit Ghosh,4/9/2021,MIT,"Scientists have access to more data than ever before from new scanners and sequencing technologies to smartphones and wearables, from consortial and large scale global brain initiatives, and from increasingly complex multimodal studies. This growth of data has been accompanied by a new generation of computational technologies spanning community developed software for brain imaging, machine learning, and data management to large scale clusters and GPUs. In this talk, I will discuss this vibrant landscape, the opportunities it creates, and the challenges that confront researchers through examples of projects we are currently engaged in. ","Satrajit Ghosh is a Principal Research Scientist at the McGovern Institute for Brain Research at MIT and an Assistant Professor of Otolaryngology at Harvard Medical School. He 
directs the Senseable Intelligence Group whose research portfolio comprises projects on spoken communication, brain imaging, and informatics to address gaps in scientific knowledge in three areas: the neural basis and translational applications of human spoken communication, machine learning approaches to precision psychiatry and medicine, and preserving information for reproducible research. "
Dr. Angela Laird,4/23/2021,Florida International University,"Neuroimaging meta-analysis offers the opportunity to examine consensus and reproducibility across published studies and translate this knowledge into improved neurocognitive models. Here, I will review the development of neuroimaging meta-analysis methods and provide a review of applications from across multiple cognitive and clinical domains. Advanced meta-analytic approaches will be described, including meta-ICA, meta- analytic clustering, meta-analytic coactivation modeling (MACM), or meta-analytic regional parcellation. Collectively, these findings demonstrate that meta-analytic patterns may be extensively data mined to provide detailed information regarding the (1) functional architecture of the brain, (2) coordination of task-specific large-scale brain networks, (3) regional axes of functional and connectomic specialization, and (4) how both structure and function may be disrupted in clinical disorders of interest. ","Dr. Laird is a Professor of Physics and Director of the Center for Imaging Science at Florida International University in Miami, Florida. Her research uses fMRI to understand the organization of large-scale networks in the human brain via the development of meta- analysis and neuroinformatics strategies. Her current application-based projects are examining adolescent development, undergraduate science education, and addiction. In addition, Dr. Laird is a site PI for the Adolescent Brain Cognitive Development (ABCD) Study, which is the largest long-term study of brain development and child health in the United States. Dr. Laird's research is currently funded by awards from the National Institutes of Health and the National Science Foundation. "
Dr. Neda Jahanshad,4/30/2021,University of Southern California,"Human neuroimaging offers non-invasive insights into the structure and function of the living brain. However, the potential to use imaging to understand the variation in the brain that may confer risk for psychiatric and neurological disorders has been hampered by an overwhelming number of unreproducible findings. Studies with small samples, overly-lenient thresholds for statistical significance, and publication biases tend to seed hypothesis driven research, leading to a cyclic exaggeration of potentially incomplete or biased, unreliable findings. Recently, large-scale international consortia have been formed to address the reliability and reproducibility of biomedical findings. I will be discussing the work and findings from the ENIGMA consortium, which began to perform unbiased genome-wide scans of brain structure and has recently pooled together neuroimaging and genomic information from over 60 datasets around the world to identify hundreds of genetic loci that help shape localized cortical and subcortical brain morphometry, and identifies a genetic architecture that correlates with those that drive risk for several neuropsychiatric traits. ENIGMA has expanded beyond studies of common genetics to incorporate over 30 clinical, methodological, or biologically focused working groups, which range from efforts to map normative brain development and aging across the lifespan, to a transdiagnostic initiative to study the neurobiological signatures of suicidal thoughts and behaviors. The continuously growing collaborations have many advantages, yet bring on new challenges for data harmonization, integration, and tools for the continuous refinement of knowledge. This talk will highlight findings from a few of the ongoing initiatives in ENIGMA, touch upon new study directions currently underway, and discuss open challenges in the field of collaborative neuroscience. ","Dr. Neda Jahanshad is an assistant professor of neurology and biomedical engineering at the University of Southern California in Los Angeles, CA. Dr. Jahanshad directs the Laboratory of Brain eScience (LoBeS) at USC. LoBeS is a collaborative multidisciplinary team that combines multimodal brain imaging techniques with advanced computational modeling approaches and information sciences to better understand the brain, and reliably identify risk factors that contribute to its decline. The lab aims to ensure their tools, approaches and findings bridge international boundaries for broad applications. The lab is largely funded to study aging and risk factors for late stage cognitive impairment, particularly in relation to neurodegeneration and dementias, a broad spectrum of mental disorders and common underlying transdiagnostic brain signatures of suicidal thoughts and behaviors. "
Dr. Aidong Zhang,5/7/2021,University of Virginia,"Most AI approaches such as deep learning are very effective at perception and classification in presence of large number of labelled data. However, in biomedical domain, the number of annotated data can be extremely limited and labeling data is typically expensive. The ability to generalize based on few examples will be key for prediction systems. It is still an open problem on how machines can recognize and generalize new patterns and their variations after observing a few examples like humans do. Meta-learning is a new paradigm which utilizes prior knowledge learned from related tasks and generalizes to new tasks of limited supervised experience, and it has been applied in many fields to tackle scarce annotated data problem, such as cancer, drug discovery, etc. In this talk, I will discuss the potential of applying the meta- learning algorithms to analyze cancer and Alzheimer patient data and demonstrates the effectiveness and superiority of the meta-learning methods for disease prediction. I will also discuss how the meta-learning can be used for survival analysis. ","Dr. Aidong Zhang is Professor of Computer Science in the School of Engineering and Applied Sciences at University of Virginia (UVA). She also holds joint appointments with Department of Biomedical Engineering and School of Data Science at University of Virginia. Her research interests include machine learning, data mining, bioinformatics, and health informatics. Dr. Zhang currently serves as the Editor-in-Chief of the IEEE Transactions on Computational Biology and Bioinformatics (TCBB). She served as the founding Chair of ACM Special Interest Group on Bioinformatics, Computational Biology and Biomedical Informatics during 2011-2015 and is currently the Chair of its advisory board. She was also the founding and steering chair of ACM international conference on Bioinformatics, Computational Biology and Health Informatics (ACM-BCB) from 2010 to 2019. Dr. Zhang is a fellow of ACM, AIMBE, and IEEE. "
Dr. Giorgio Ascoli,5/14/2021,George Mason University,"The dendritic (input) and axonal (output) arbors of neurons are extremely diverse, affecting both signal processing and activity propagation throughout the network. We will present a framework conceptually and quantitatively linking neuron morphology and circuit connectivity using the hippocampal formation as a practical example. This approach provides a comprehensive yet compact neuronal classification system while enabling systematic integration of other dimensions of cellular identity, such as molecular expression and electrophysiological properties. Organizing the resulting data in web-based neuroinformatics repository and leveraging state-of-the-art computing architectures allows real scale modeling of simulated dynamics to explore cellular-level mechanisms underlying brain function. ","Giorgio A. Ascoli received a PhD in Chemistry from the Scuola Normale Superiore of Pisa, Italy, and continued his research at the National Institutes of Health in Bethesda, MD investigating protein structure and binding in the nervous system. After establishing his lab at George Mason University, Ascoli contributed to the establishment of the fields of computational neuroanatomy and neuroinformatics. He now directs a research center studying the relationship between brain structure, activity, and function from the cellular to the circuit level. In the long term, he seeks to create large-scale, anatomically plausible neural networks to model entire portions of a mammalian brain, such as the hippocampus. "
